id,Datetime,Data,Data_add,BarTrend,Barometer,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,SolarRad,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,RainStorm,HeatIndex,WindChill,THSWIndex,Station
27595,2020-11-15T19:05:04.195032,2020-11-15,2020-11-15,0.0,29.642,30.4,0,0,339,60.0,,0.0,0.0,109.6,1040.0,5.5,60.7,1525.8,,33.3,30.6,32.2,1
28239,2020-11-29T00:05:03.927226,2020-11-29,2020-11-29,0.0,29.821,22.1,0,0,351,83.0,,0.0,0.0,156.2,1086.6,0.0,121.7,1586.7,,22.8,22.2,21.7,1
28883,2020-12-14T02:35:03.445601,2020-12-14,2020-12-14,236.0,29.73,22.7,0,0,337,80.0,,0.0,0.0,39.4,1126.0,0.1,64.0,1662.2,,23.3,22.8,22.8,1
29527,2020-12-29T01:05:03.821005,2020-12-29,2020-12-29,236.0,29.675,23.1,0,0,6,78.0,,0.0,0.0,87.6,1174.2,0.0,127.0,1725.2,,23.9,23.3,22.8,1
26952,2020-11-02T10:22:42.659601,2020-11-02,2020-11-02,20.0,29.765,26.1,0,0,222,86.0,,60.0,10.6,10.6,941.0,0.3,4.6,1469.6,,28.9,26.1,29.4,1
27596,2020-11-15T19:35:04.082670,2020-11-15,2020-11-15,20.0,29.66,29.1,0,0,339,70.0,,0.0,0.0,109.6,1040.0,5.5,60.7,1525.8,,33.3,28.9,32.8,1
28240,2020-11-29T00:35:03.836352,2020-11-29,2020-11-29,0.0,29.814,21.8,0,0,351,84.0,,0.0,0.0,156.2,1086.6,0.0,121.7,1586.7,,22.8,21.7,21.7,1
28884,2020-12-14T03:05:03.283106,2020-12-14,2020-12-14,236.0,29.723,22.3,0,0,337,81.0,,0.0,0.0,39.4,1126.0,0.1,64.0,1662.2,,22.8,22.2,22.2,1
29528,2020-12-29T01:35:03.726882,2020-12-29,2020-12-29,236.0,29.681,22.3,0,0,6,81.0,,0.0,0.0,87.6,1174.2,0.0,127.0,1725.2,,22.8,22.2,21.7,1
26953,2020-11-02T10:25:42.600757,2020-11-02,2020-11-02,20.0,29.765,26.0,0,0,222,86.0,,54.0,10.6,10.6,941.0,0.3,4.6,1469.6,,28.9,26.1,29.4,1
27597,2020-11-15T20:05:03.984278,2020-11-15,2020-11-15,20.0,29.674,28.8,0,0,339,67.0,,0.0,0.0,109.6,1040.0,5.5,60.7,1525.8,,32.2,28.9,31.7,1
28241,2020-11-29T01:05:03.698205,2020-11-29,2020-11-29,236.0,29.808,22.9,0,0,351,81.0,,0.0,0.0,156.2,1086.6,0.0,121.7,1586.7,,23.9,22.8,22.8,1
28885,2020-12-14T03:35:04.222003,2020-12-14,2020-12-14,0.0,29.733,22.5,0,0,337,78.0,,0.0,0.0,39.4,1126.0,0.1,64.0,1662.2,,23.3,22.8,22.8,1
29529,2020-12-29T02:05:03.680357,2020-12-29,2020-12-29,236.0,29.682,22.9,0,0,6,78.0,,0.0,0.0,87.6,1174.2,0.1,127.0,1725.2,,23.9,22.8,23.3,1
26954,2020-11-02T10:35:03.573985,2020-11-02,2020-11-02,20.0,29.767,25.9,0,0,222,86.0,,111.0,10.8,10.8,941.2,0.3,4.6,1469.6,,28.9,26.1,29.4,1
27598,2020-11-15T20:35:03.288064,2020-11-15,2020-11-15,60.0,29.692,29.7,0,0,310,64.0,,0.0,0.0,109.6,1040.0,5.5,60.7,1525.8,,33.3,29.4,32.8,1
28242,2020-11-29T01:35:03.608524,2020-11-29,2020-11-29,236.0,29.795,23.7,0,0,354,78.0,,0.0,0.0,156.2,1086.6,0.0,121.7,1586.7,,25.0,23.9,24.4,1
28886,2020-12-14T04:05:04.041842,2020-12-14,2020-12-14,0.0,29.745,23.9,0,0,337,73.0,,0.0,0.0,39.4,1126.0,0.1,64.0,1662.2,,25.0,23.9,24.4,1
29530,2020-12-29T02:35:03.870475,2020-12-29,2020-12-29,0.0,29.68,22.7,0,0,6,78.0,,0.0,0.0,87.6,1174.2,0.1,127.0,1725.2,,23.3,22.8,22.8,1
26955,2020-11-02T11:05:03.404737,2020-11-02,2020-11-02,0.0,29.768,25.2,0,2,253,87.0,,72.0,11.2,11.2,941.6,0.4,4.6,1469.6,,27.8,25.0,28.3,1
27599,2020-11-15T21:05:03.272669,2020-11-15,2020-11-15,60.0,29.706,30.4,0,0,309,61.0,,0.0,0.0,109.6,1040.0,5.6,60.7,1525.8,,33.9,30.6,33.3,1
28243,2020-11-29T02:05:03.446986,2020-11-29,2020-11-29,236.0,29.787,23.8,0,0,312,77.0,,0.0,0.0,156.2,1086.6,0.1,121.7,1586.7,,25.0,23.9,24.4,1
28887,2020-12-14T04:35:03.908096,2020-12-14,2020-12-14,20.0,29.761,22.2,0,0,337,81.0,,0.0,0.0,39.4,1126.0,0.1,64.0,1662.2,,22.8,22.2,22.2,1
29531,2020-12-29T03:05:03.706372,2020-12-29,2020-12-29,0.0,29.677,23.4,0,0,338,74.0,,0.0,0.0,87.6,1174.2,0.1,127.0,1725.2,,24.4,23.3,23.9,1
26956,2020-11-02T11:35:03.340238,2020-11-02,2020-11-02,0.0,29.758,25.4,1,2,254,87.0,,206.0,11.2,11.2,941.6,0.4,4.6,1469.6,,27.8,25.6,29.4,1
27600,2020-11-15T21:35:03.230828,2020-11-15,2020-11-15,60.0,29.713,31.3,0,0,330,52.0,,0.0,0.0,109.6,1040.0,5.6,60.7,1525.8,,33.9,31.1,32.8,1
28244,2020-11-29T02:35:03.396495,2020-11-29,2020-11-29,236.0,29.779,23.8,0,0,314,78.0,,0.0,0.0,156.2,1086.6,0.1,121.7,1586.7,,25.0,23.9,24.4,1
