id,Datetime,Data,Data_add,BarTrend,Barometer,TempOut,WindSpeed,WindSpeed10Min,WindDir,HumOut,RainRate,SolarRad,RainDay,RainMonth,RainYear,ETDay,ETMonth,ETYear,RainStorm,HeatIndex,WindChill,THSWIndex,Station
30171,2021-01-12T08:35:03.563645,2021-01-12,2021-01-12,20.0,29.833,26.2,0,0,353,87.0,,153.0,0.0,30.0,30.0,0.1,40.9,40.9,,29.4,26.1,30.6,1
30266,2021-01-14T10:05:03.588056,2021-01-14,2021-01-14,0.0,29.82,26.4,0,0,68,82.0,,341.0,0.4,78.2,78.2,0.4,43.4,43.4,,29.4,26.7,33.9,1
30511,2021-01-19T11:35:04.085157,2021-01-19,2021-01-19,236.0,29.78,31.4,8,1,249,61.0,,573.0,1.2,91.4,91.4,1.6,62.7,62.7,,36.1,31.7,43.3,1
30569,2021-01-20T16:35:03.592622,2021-01-20,2021-01-20,0.0,29.734,24.9,0,0,231,85.0,,30.0,1.6,93.0,93.0,2.5,66.8,66.8,,27.2,25.0,26.7,1
31213,2021-02-03T04:05:03.557765,2021-02-03,2021-02-03,0.0,29.768,20.4,0,0,318,89.0,,0.0,0.0,0.2,112.8,0.1,8.4,114.3,,21.7,20.6,21.1,1
31307,2021-02-05T09:35:03.306211,2021-02-05,2021-02-05,20.0,29.791,30.1,10,1,262,63.0,,838.0,0.0,0.2,112.8,0.7,18.3,124.2,,33.9,30.0,40.6,1
31951,2021-02-19T01:05:03.909514,2021-02-19,2021-02-19,236.0,29.807,22.9,0,0,316,91.0,,0.0,2.4,114.8,227.4,0.0,61.7,167.6,,24.4,22.8,23.3,1
32524,2021-03-04T10:05:05.402126,2021-03-04,2021-03-04,20.0,29.865,30.2,10,1,237,68.0,,993.0,0.0,17.2,294.6,1.0,9.9,209.0,,35.0,30.0,42.2,1
32527,2021-03-04T13:35:05.138355,2021-03-04,2021-03-04,196.0,29.765,33.1,8,1,232,59.0,,1062.0,0.0,17.2,294.6,2.9,9.9,209.0,,39.4,33.3,46.7,1
32533,2021-03-04T17:35:03.552814,2021-03-04,2021-03-04,236.0,29.711,31.6,0,0,25,60.0,,44.0,0.0,17.2,294.6,4.6,9.9,209.0,,36.1,31.7,36.1,1
32535,2021-03-04T18:35:04.160948,2021-03-04,2021-03-04,0.0,29.726,28.8,0,0,20,72.0,,0.0,0.0,17.2,294.6,4.6,9.9,209.0,,32.8,28.9,32.2,1
32537,2021-03-04T19:35:03.956837,2021-03-04,2021-03-04,20.0,29.74,26.6,0,0,20,77.0,,0.0,0.0,17.2,294.6,4.6,9.9,209.0,,28.9,26.7,28.3,1
33086,2021-03-25T15:05:03.340411,2021-03-25,2021-03-25,196.0,29.747,31.6,0,0,339,63.0,,431.0,0.0,26.2,303.6,2.7,88.1,287.3,,37.2,31.7,41.1,1
33730,2021-04-07T23:05:03.597218,2021-04-07,2021-04-07,20.0,29.797,22.1,0,0,349,84.0,,0.0,0.0,1.0,311.8,5.3,23.9,336.8,,22.8,22.2,21.7,1
34374,2021-04-21T11:05:04.174349,2021-04-21,2021-04-21,0.0,29.85,28.8,0,0,72,76.0,,336.0,0.0,1.6,312.4,0.9,76.5,389.4,,33.9,28.9,41.1,1
35018,2021-05-04T23:05:03.943293,2021-05-04,2021-05-04,20.0,29.852,23.8,0,0,240,85.0,,0.0,0.0,0.0,327.8,3.8,12.2,439.4,,25.0,23.9,23.9,1
35662,2021-05-18T03:35:03.233756,2021-05-18,2021-05-18,0.0,29.825,20.4,0,0,185,87.0,,0.0,0.0,2.4,330.2,0.1,68.3,495.6,,21.1,20.6,20.6,1
36306,2021-05-31T12:35:03.305343,2021-05-31,2021-05-31,196.0,29.814,34.1,0,0,101,48.0,,1056.0,0.0,2.4,330.2,2.5,131.8,559.1,,38.3,33.9,45.6,1
36950,2021-06-13T22:35:03.552826,2021-06-13,2021-06-13,60.0,29.863,27.3,0,0,56,69.0,,0.0,0.0,0.0,330.2,4.4,54.9,618.5,,29.4,27.2,28.3,1
37593,2021-06-27T02:05:03.600323,2021-06-27,2021-06-27,0.0,29.818,25.2,0,0,135,51.0,,0.0,0.0,0.0,330.2,0.1,119.1,682.8,,25.6,25.0,25.0,1
38235,2021-07-10T07:05:03.316498,2021-07-10,2021-07-10,20.0,29.875,24.2,0,0,132,75.0,,174.0,0.0,0.0,330.2,0.3,39.9,742.7,,25.6,24.4,27.2,1
38877,2021-07-24T17:05:05.896549,2021-07-24,2021-07-24,236.0,29.815,31.9,0,0,121,42.0,,118.0,0.0,0.0,330.2,4.3,111.0,813.8,,32.8,32.2,32.8,1
39519,2021-08-07T01:35:03.199834,2021-08-07,2021-08-07,0.0,29.929,26.4,0,0,133,60.0,,0.0,0.0,0.0,330.2,0.1,27.4,881.4,,27.2,26.7,26.7,1
40161,2021-08-20T15:05:04.121390,2021-08-20,2021-08-20,196.0,29.717,35.5,0,0,58,38.0,,255.0,0.0,0.0,330.2,4.3,97.3,951.2,,38.3,35.6,40.0,1
40803,2021-09-02T19:05:03.394291,2021-09-02,2021-09-02,20.0,29.769,32.4,0,0,175,36.0,,0.0,0.0,0.0,330.2,5.1,5.6,1022.1,,32.8,32.2,31.7,1
41445,2021-09-16T05:05:03.902678,2021-09-16,2021-09-16,20.0,29.871,26.1,0,0,110,56.0,,0.0,0.0,0.0,330.2,0.3,87.4,1103.9,,26.7,26.1,26.1,1
30172,2021-01-12T09:05:03.505512,2021-01-12,2021-01-12,20.0,29.828,26.6,0,0,353,84.0,,229.0,0.0,30.0,30.0,0.3,40.9,40.9,,29.4,26.7,32.2,1
30267,2021-01-14T10:35:04.156715,2021-01-14,2021-01-14,0.0,29.815,26.8,0,0,70,81.0,,397.0,0.4,78.2,78.2,0.4,43.4,43.4,,30.0,26.7,33.9,1
30512,2021-01-19T12:05:03.271553,2021-01-19,2021-01-19,236.0,29.772,30.7,0,0,243,62.0,,701.0,1.2,91.4,91.4,2.1,62.7,62.7,,34.4,30.6,41.7,1
30570,2021-01-20T17:05:04.187661,2021-01-20,2021-01-20,0.0,29.74,24.7,0,0,231,84.0,,37.0,1.6,93.0,93.0,2.5,66.8,66.8,,26.7,25.0,26.1,1
31214,2021-02-03T04:35:03.618115,2021-02-03,2021-02-03,0.0,29.778,19.9,0,0,318,89.0,,0.0,0.0,0.2,112.8,0.1,8.4,114.3,,21.1,20.0,20.6,1
31308,2021-02-05T10:05:03.440597,2021-02-05,2021-02-05,0.0,29.781,31.3,0,0,306,63.0,,963.0,0.0,0.2,112.8,1.1,18.3,124.2,,36.1,31.1,43.3,1
31952,2021-02-19T01:35:03.742395,2021-02-19,2021-02-19,236.0,29.799,22.8,0,0,318,91.0,,0.0,3.0,115.4,228.0,0.0,61.7,167.6,,23.9,22.8,22.8,1
32525,2021-03-04T10:35:03.860453,2021-03-04,2021-03-04,0.0,29.858,30.1,0,1,332,70.0,,338.0,0.0,17.2,294.6,1.0,9.9,209.0,,35.0,30.0,42.2,1
32528,2021-03-04T14:05:03.353438,2021-03-04,2021-03-04,196.0,29.753,32.8,0,0,5,62.0,,1014.0,0.0,17.2,294.6,3.5,9.9,209.0,,40.0,32.8,47.2,1
